No,gender,age,age_group,edu,job,region,DTMC1,DTMC2,DTMC3,DTMC4,DTMC5,DTMC6,DTNC1,DTNC2,DTNC3,DTNC4,DTNC5,DTNC6,DTPS1,DTPS2,DTPS3,DTPS5,DTPS6,DTPS7,DTSD1,DTSD2,DTSD3,DTSD5,DTSD6
1404,1,25,1,2,5,4,2,4,5,4,4,4,3,4,4,3,4,3,2,2,2,1,2,3,2,2,2,4,2
1407,1,27,1,3,5,12,2,2,4,3,2,1,2,2,2,2,3,4,2,2,2,1,1,2,1,1,1,1,1
2,2,26,1,3,3,1,3,2,1,1,4,4,5,5,3,1,4,5,3,5,5,5,4,5,2,1,1,4,1
4,1,64,5,4,11,10,4,3,4,4,4,3,2,4,4,4,2,4,4,4,4,1,2,2,2,1,3,4,4
7,2,60,5,3,4,11,3,4,4,3,4,2,1,1,1,1,1,1,1,4,2,2,2,2,4,1,2,4,1
12,1,60,5,3,4,6,4,1,3,2,3,2,3,3,3,2,2,2,1,3,2,2,2,2,1,1,1,2,2
16,1,24,1,2,1,12,4,4,5,4,4,4,2,2,1,1,2,3,1,2,1,1,2,1,1,3,3,4,1
17,1,27,1,3,10,9,3,3,4,2,3,3,3,3,4,3,2,4,3,2,3,3,2,3,3,4,3,3,2
18,2,24,1,3,1,1,3,2,3,2,3,2,3,3,3,3,3,3,2,2,2,1,1,1,1,2,1,1,1
19,2,29,1,3,5,11,3,3,4,3,4,3,4,4,4,4,4,4,3,4,2,2,2,2,2,2,2,4,2
20,2,21,1,2,1,5,5,4,4,3,4,3,2,2,3,2,4,3,3,4,4,4,4,3,1,1,5,4,1
22,1,30,2,3,4,9,5,4,4,3,4,2,1,1,1,1,3,3,2,1,1,2,2,3,3,2,3,4,1
24,2,36,2,3,9,6,4,2,3,2,2,2,4,4,2,3,2,2,1,2,2,2,3,5,2,1,1,4,2
29,2,65,5,2,3,2,4,3,4,2,3,2,2,3,3,4,4,4,2,2,1,1,2,3,2,1,1,3,1
30,2,32,2,3,4,13,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1
31,2,32,2,4,4,9,3,2,4,4,4,3,2,2,3,2,4,4,2,3,2,1,2,2,4,4,3,4,1
35,1,36,2,3,10,2,3,5,3,3,5,4,4,3,4,4,4,5,2,3,3,3,4,4,3,4,5,4,2
38,2,34,2,3,9,2,4,2,3,1,2,2,1,2,2,3,3,3,1,2,2,1,1,3,1,1,1,4,1
39,1,52,4,3,4,7,2,2,3,2,2,1,2,2,2,2,3,2,2,5,5,2,2,3,3,4,3,5,3
40,1,58,4,3,4,9,4,4,4,3,5,4,3,2,2,2,3,2,2,3,2,2,2,2,2,2,2,2,1
42,1,67,5,3,3,1,4,3,4,2,4,1,2,3,2,2,3,3,3,1,1,2,1,3,1,2,1,2,1
44,2,50,4,3,7,6,5,3,3,4,4,3,3,4,3,3,4,3,1,2,1,1,1,5,1,1,3,3,1
47,1,61,5,3,3,9,3,4,3,2,3,3,3,3,3,2,4,4,2,3,2,2,2,3,2,3,2,3,2
48,1,64,5,3,11,1,5,4,4,4,4,3,3,3,3,3,3,3,1,2,1,2,3,2,2,1,2,2,1
50,1,57,4,3,4,9,4,3,4,1,2,1,3,4,3,2,3,3,1,3,2,1,1,2,1,2,3,4,2
52,2,65,5,2,3,9,3,1,3,1,2,1,3,3,3,2,2,2,1,1,1,1,1,3,1,1,2,1,1
53,2,29,1,3,4,9,5,2,3,1,4,3,3,3,4,3,4,3,1,4,3,1,2,3,1,4,2,5,1
54,2,49,3,2,9,4,3,1,3,1,1,1,2,2,1,1,2,1,2,3,1,1,1,1,1,2,1,1,1
56,1,44,3,3,4,13,4,3,4,3,2,4,2,2,2,3,2,3,1,3,3,4,3,3,2,2,4,4,2
59,2,26,1,3,4,6,2,2,3,2,3,3,2,4,3,2,2,2,2,2,2,2,2,2,2,2,2,3,1
61,2,24,1,2,1,12,4,1,2,1,2,1,3,1,1,1,2,1,1,3,1,1,1,4,1,1,1,1,1
62,2,24,1,3,10,2,3,2,3,2,4,2,1,2,1,1,3,2,1,2,1,1,1,1,3,3,2,4,3
67,1,52,4,3,4,1,4,4,4,3,3,3,2,2,2,2,2,2,2,3,1,3,2,3,2,2,3,4,1
74,1,27,1,2,10,2,1,3,1,4,3,2,3,3,4,3,4,4,5,3,3,5,4,3,2,1,2,2,1
76,2,30,2,5,7,1,4,3,4,4,2,4,2,3,2,4,4,4,2,3,2,2,2,3,2,2,2,4,2
79,2,27,1,3,10,10,3,2,3,2,2,2,3,2,2,2,3,3,2,2,2,1,1,1,1,2,2,1,1
85,2,47,3,3,4,4,5,3,4,4,5,4,1,2,3,2,2,2,1,1,1,3,3,3,1,1,1,1,1
96,1,32,2,4,5,1,1,1,5,4,4,3,2,2,3,2,4,4,1,2,2,1,3,3,1,3,2,4,2
98,2,32,2,3,4,13,4,3,4,2,3,3,3,3,2,3,3,3,2,3,2,2,2,2,1,2,2,3,2
99,1,53,4,3,3,12,4,4,4,4,4,2,1,1,1,1,1,1,2,2,2,2,2,2,2,3,2,3,1
106,2,34,2,4,4,13,2,3,2,1,3,1,3,4,3,2,3,4,1,2,1,1,1,2,1,1,1,1,1
107,2,41,3,2,7,1,5,3,5,2,3,2,2,2,4,4,4,4,1,3,2,2,4,2,1,1,2,5,1
108,2,54,4,2,4,12,4,3,3,3,3,4,3,3,4,3,3,3,2,3,3,4,4,3,3,3,3,3,3
110,2,33,2,3,6,9,3,2,3,2,4,3,3,4,2,4,5,5,1,2,1,1,2,2,1,4,1,1,2
115,1,31,2,3,4,9,4,4,5,5,5,4,4,5,3,4,4,4,1,2,1,1,1,1,1,1,1,2,1
116,2,47,3,4,7,1,4,3,3,3,2,2,3,3,3,2,4,4,2,4,3,2,1,1,2,2,1,1,1
117,2,35,2,2,9,1,4,3,4,4,4,2,1,1,1,1,1,1,1,1,1,2,1,3,1,4,2,2,1
119,1,31,2,3,4,6,2,4,4,5,3,4,4,3,2,2,4,5,1,2,1,2,1,1,1,3,1,5,1
120,1,43,3,4,6,5,4,3,3,3,4,2,3,3,3,2,2,2,3,2,2,3,2,3,3,3,2,3,3
124,2,51,4,3,4,1,2,3,3,4,3,3,4,3,3,3,4,3,4,3,3,2,3,4,3,3,3,4,3
127,2,56,4,3,9,6,4,2,3,2,3,2,2,2,3,3,3,2,2,2,2,3,2,3,2,2,2,3,1
130,2,46,3,3,10,1,5,3,4,3,2,1,3,4,2,1,4,4,1,4,2,4,4,2,1,1,1,5,1
132,2,47,3,2,6,2,4,3,3,3,3,3,1,2,2,2,2,2,1,1,1,1,1,4,1,1,1,3,1
137,2,30,2,4,10,6,3,2,3,2,3,2,2,3,3,2,2,2,1,3,1,1,2,3,1,1,3,4,1
138,2,60,5,2,9,1,3,2,2,1,4,1,4,4,4,5,3,3,1,4,3,1,2,4,2,2,1,1,1
139,2,39,2,2,4,1,5,2,2,1,1,1,2,2,1,1,1,1,1,3,1,1,1,1,1,2,1,3,1
143,1,61,5,3,11,9,2,4,4,2,4,2,3,3,3,3,3,3,2,2,2,2,2,3,2,3,2,1,1
146,1,33,2,3,4,1,4,2,4,4,3,2,2,3,3,2,4,3,2,3,1,2,2,2,1,2,2,4,1
149,1,63,5,3,11,3,3,4,4,4,4,2,2,2,2,2,3,2,1,4,1,2,1,3,2,4,3,4,2
151,1,23,1,2,1,11,2,3,2,2,4,2,4,4,2,2,4,4,2,2,1,1,1,1,1,3,1,4,1
154,1,69,5,5,3,1,4,3,4,3,3,3,3,3,2,3,4,4,2,2,2,2,2,3,2,2,2,4,1
163,2,64,5,2,7,1,4,3,4,3,4,2,3,3,2,2,3,3,2,3,2,2,2,2,2,1,1,4,1
167,1,36,2,3,6,9,1,3,3,4,4,2,5,5,2,4,4,4,2,2,1,1,1,3,1,1,1,1,1
168,2,64,5,3,9,6,4,3,3,3,3,3,3,3,2,3,3,3,2,2,3,1,1,2,3,1,1,1,1
175,1,60,5,3,4,1,4,5,5,4,4,3,5,5,4,4,5,5,4,3,5,3,4,3,3,5,3,3,3
179,2,26,1,3,1,1,5,5,5,5,5,5,5,5,4,4,4,5,4,4,4,3,4,2,1,1,1,5,1
181,1,59,4,3,4,2,4,3,4,4,4,1,3,3,4,3,3,4,1,2,1,4,2,3,1,1,1,4,1
184,2,62,5,3,10,1,4,3,3,2,4,1,2,3,2,2,3,3,1,4,2,1,2,3,1,1,1,4,1
187,1,39,2,2,4,1,5,4,4,3,5,4,4,3,3,2,3,3,1,4,3,1,1,2,2,3,3,4,1
188,1,22,1,2,10,3,3,4,3,4,3,3,3,2,3,4,3,4,4,3,4,4,3,3,4,3,3,3,3
189,2,50,4,2,4,1,3,3,4,4,3,4,2,3,2,3,3,2,2,3,2,2,2,2,3,3,2,4,2
191,1,65,5,3,6,9,4,4,4,4,4,4,2,2,3,3,3,3,2,3,2,2,3,4,4,2,4,4,4
195,2,38,2,3,7,12,3,3,4,3,3,3,3,3,3,3,3,4,3,4,3,3,3,3,3,3,3,3,3
197,1,35,2,3,4,9,2,3,4,4,4,3,2,2,2,3,3,3,2,4,2,2,3,3,2,2,2,5,1
198,2,61,5,3,11,9,3,3,3,2,3,2,3,3,3,3,3,3,3,3,2,2,2,3,3,1,3,4,1
199,1,43,3,3,3,6,5,2,2,2,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,4,2
200,2,64,5,2,7,6,4,3,5,2,4,3,3,3,3,3,3,2,2,2,1,1,2,2,1,1,2,5,1
201,1,35,2,3,5,9,4,4,4,3,4,4,4,5,3,4,5,4,2,4,2,1,1,4,3,4,4,4,1
203,2,23,1,3,6,9,2,2,4,4,4,3,4,4,4,4,4,4,2,4,2,2,2,3,2,2,2,3,2
206,2,49,3,3,9,1,4,3,2,2,3,2,1,1,1,2,2,2,2,4,4,2,2,2,2,2,2,2,2
213,1,41,3,2,4,9,3,2,4,2,4,3,3,3,3,3,3,3,1,1,3,3,3,5,2,3,1,5,2
214,1,43,3,2,6,9,3,3,3,2,4,3,1,2,1,2,2,3,1,3,1,1,3,2,4,5,4,5,1
217,1,39,2,4,4,9,3,2,2,3,3,1,3,3,2,2,3,3,1,3,2,1,1,2,1,4,1,3,1
222,1,57,4,3,3,2,5,3,4,3,3,3,3,3,3,3,4,4,2,4,4,1,1,3,1,1,2,4,1
228,2,51,4,3,9,1,4,2,4,4,2,4,1,2,2,2,1,2,2,2,2,1,2,2,1,3,2,5,1
229,2,26,1,3,4,1,3,3,3,3,3,3,2,2,3,3,3,2,3,3,3,2,2,2,2,2,2,3,2
232,2,40,3,3,4,9,4,2,5,5,5,5,1,5,2,2,5,3,1,1,1,1,4,2,1,1,1,5,1
234,1,52,4,3,4,1,4,3,3,3,4,3,3,3,3,3,4,4,1,4,1,3,2,3,1,2,1,4,1
235,1,29,1,2,4,6,3,3,3,1,4,2,2,2,2,1,2,2,2,4,2,2,2,2,2,3,2,3,2
238,2,60,5,3,9,1,2,3,3,3,3,2,2,2,3,3,3,3,2,2,2,2,2,2,2,2,2,1,1
241,2,58,4,3,9,9,4,3,4,4,4,2,3,3,2,2,2,2,2,3,2,2,2,2,1,2,3,2,1
243,2,60,5,1,9,4,4,1,2,2,4,1,3,2,2,2,2,4,4,4,2,4,4,4,4,2,2,2,2
253,1,52,4,3,3,1,4,3,4,2,3,1,1,4,2,2,3,3,1,4,1,2,1,3,5,2,2,1,1
254,2,52,4,3,4,3,3,3,4,4,3,2,2,3,4,4,2,3,3,2,2,2,3,3,3,3,4,4,1
260,1,44,3,3,4,13,3,3,3,3,3,3,3,3,3,2,3,4,4,2,2,1,1,4,3,4,1,5,1
261,2,52,4,3,9,1,4,2,3,3,4,3,1,2,2,2,1,1,2,3,2,2,2,2,3,2,1,3,1
265,1,26,1,2,1,12,4,4,4,4,4,4,4,4,4,4,4,4,1,3,1,1,1,1,1,5,1,5,1
269,1,56,4,3,3,8,4,2,3,2,4,2,3,3,3,3,3,3,2,2,2,2,2,2,2,2,3,2,1
282,2,48,3,3,9,9,3,3,4,3,3,2,2,2,2,2,3,4,3,4,2,2,3,2,3,4,2,3,1
285,2,42,3,3,4,6,4,4,4,3,4,2,2,2,2,2,2,2,1,4,2,2,2,2,2,2,2,3,1
289,2,55,4,3,3,3,4,3,4,3,3,4,1,1,1,1,1,2,1,3,2,1,1,1,1,1,1,1,1
292,1,22,1,2,1,12,4,3,4,3,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,2,2,3,2
297,2,47,3,3,3,1,5,3,4,4,4,4,2,2,3,3,2,2,2,4,1,4,4,4,2,3,2,4,1
306,1,28,1,3,10,11,3,2,2,3,3,3,3,3,3,3,3,3,3,2,3,2,2,3,3,3,3,3,3
309,1,46,3,3,3,3,3,3,4,2,3,4,2,2,3,2,2,3,2,3,2,2,2,3,2,2,4,2,2
317,2,53,4,3,9,1,4,2,4,3,2,2,2,2,2,2,3,2,1,1,1,1,1,1,1,1,1,1,1
321,1,24,1,2,1,2,5,5,5,5,3,3,3,3,3,3,3,3,3,3,3,1,1,1,1,4,3,2,2
346,1,49,3,5,4,9,4,3,4,3,4,3,4,4,3,4,4,4,2,3,2,2,2,3,2,3,4,4,2
359,1,46,3,3,3,11,3,3,3,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
360,1,44,3,3,4,7,2,3,4,3,4,4,4,4,2,2,4,4,2,4,2,2,2,4,2,1,2,4,1
