No,gender,age,age_group,edu,job,region,DTMC1,DTMC2,DTMC3,DTMC4,DTMC5,DTMC6,DTNC1,DTNC2,DTNC3,DTNC4,DTNC5,DTNC6,DTPS1,DTPS2,DTPS3,DTPS5,DTPS6,DTPS7,DTSD1,DTSD2,DTSD3,DTSD5,DTSD6
1067,2,37,2,3,7,1,4,3,5,4,4,2,3,4,2,4,4,4,1,1,1,4,4,1,1,4,3,3,1
1068,1,39,2,3,4,13,2,4,3,2,4,1,4,3,4,4,3,4,1,4,3,1,1,4,3,3,3,4,3
1069,1,25,1,3,10,9,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,4,3,3,4,3,3,3
1070,1,37,2,3,4,9,2,4,3,2,3,3,3,4,2,3,4,4,2,3,2,1,1,1,1,4,1,2,1
1074,2,25,1,3,4,9,2,3,4,3,3,3,3,2,3,4,4,3,1,3,1,2,1,3,2,1,1,3,1
1075,1,63,5,3,4,1,2,1,4,2,2,3,2,2,2,2,3,4,1,2,2,2,2,2,1,1,1,3,1
1076,1,35,2,3,7,2,4,4,4,2,4,3,2,3,3,2,3,4,2,2,2,2,3,3,2,4,2,3,1
1077,1,56,4,4,4,12,2,2,4,3,3,1,3,2,1,3,4,4,1,4,2,2,2,3,2,1,1,2,1
1078,1,64,5,2,4,10,4,4,3,3,4,3,2,3,4,3,4,4,2,2,2,2,2,2,1,2,2,3,3
1079,1,67,5,4,11,9,3,3,4,3,4,3,4,3,3,4,4,4,3,4,3,2,2,3,2,1,2,3,2
1080,2,68,5,1,9,9,4,3,4,2,2,2,3,3,3,3,3,3,1,1,1,1,1,1,1,1,1,4,1
1082,1,33,2,3,4,1,3,2,3,4,4,2,3,3,2,2,3,3,1,1,1,2,2,4,1,2,1,5,1
1083,2,53,4,3,10,9,4,3,3,2,3,3,2,2,2,3,3,3,2,3,2,1,2,3,2,2,2,4,2
1084,2,51,4,3,5,13,2,2,4,3,2,2,2,2,2,2,2,3,1,2,2,1,1,1,1,1,1,3,1
1085,2,45,3,3,4,1,4,2,3,3,3,2,3,3,2,2,4,3,1,2,1,1,1,1,1,1,1,1,1
1086,1,63,5,2,4,9,4,4,3,2,3,2,3,2,2,2,3,3,3,3,2,2,2,3,3,3,3,2,2
1087,1,53,4,5,6,1,4,4,4,3,4,3,2,4,4,3,4,4,2,3,1,1,1,2,2,1,3,4,1
1088,1,60,5,3,10,9,3,3,4,3,3,2,3,3,3,2,3,3,2,3,2,1,2,3,2,2,2,1,1
1089,1,20,1,2,1,13,4,3,3,4,4,3,1,2,2,1,3,2,1,1,1,1,1,1,1,2,1,3,1
1090,1,40,3,3,4,9,3,4,4,2,3,3,3,3,2,4,3,4,2,2,3,2,2,4,2,3,3,3,3
1092,1,47,3,3,3,1,4,3,4,3,4,2,2,2,2,2,2,2,2,3,2,2,2,2,2,3,3,4,1
1093,1,65,5,2,11,9,5,4,3,3,3,3,3,3,2,3,3,3,3,3,3,2,2,2,2,2,3,4,3
1094,1,42,3,4,4,1,2,2,2,3,3,3,3,2,3,3,3,2,2,2,2,3,3,2,2,2,2,3,2
1095,2,29,1,3,4,7,4,4,4,4,4,3,3,3,2,1,3,4,1,4,1,1,1,3,1,2,1,3,1
1096,1,30,2,3,5,9,4,2,4,2,4,2,4,3,2,2,3,3,2,2,2,2,2,2,2,4,2,2,2
1097,1,47,3,4,4,1,5,3,4,4,4,3,3,3,2,2,3,3,1,3,1,2,3,3,1,1,1,4,1
1098,1,61,5,5,6,9,4,4,4,3,4,4,3,3,3,3,3,4,3,3,3,3,3,4,4,3,3,4,4
1099,2,51,4,2,4,9,3,2,4,3,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,1
1100,2,23,1,3,10,11,3,4,3,5,5,5,3,5,3,4,2,5,3,5,5,2,5,3,4,5,3,2,4
1101,1,60,5,3,7,6,4,2,3,3,4,3,3,3,3,2,3,4,3,3,2,3,2,3,3,3,4,2,3
1102,1,36,2,3,4,9,4,4,4,3,4,4,4,4,4,4,4,4,2,2,2,1,1,1,1,5,3,5,1
1103,2,54,4,3,11,12,3,2,4,4,3,2,1,1,2,1,1,1,2,1,1,1,1,2,1,3,1,4,1
1105,1,27,1,4,2,9,2,3,2,2,4,3,3,3,2,3,3,3,2,4,3,2,2,4,2,2,2,4,2
1106,1,62,5,3,6,1,4,2,3,2,4,2,3,3,2,2,4,4,2,2,2,1,2,4,2,2,2,2,1
1107,1,36,2,4,4,1,2,2,1,1,3,3,2,3,2,1,1,2,3,2,1,2,2,1,2,1,1,3,2
1108,1,65,5,3,4,1,3,3,3,2,4,2,3,2,2,2,3,3,2,4,3,2,2,4,2,2,2,4,2
1109,2,53,4,2,4,9,3,3,3,3,3,4,3,3,3,3,3,4,3,3,4,2,2,2,3,2,2,2,2
1110,1,62,5,3,4,9,4,4,3,4,4,2,4,4,3,3,4,4,2,2,1,2,2,2,3,4,4,3,3
1111,1,62,5,3,4,10,4,5,4,3,3,2,3,2,3,3,3,4,2,3,1,1,1,3,1,1,2,1,1
1114,2,52,4,3,9,1,4,3,4,4,4,3,3,3,3,2,2,2,2,3,3,2,2,4,2,3,4,4,2
1115,2,59,4,4,3,9,4,2,4,1,4,1,4,4,4,3,4,4,2,3,1,1,2,4,1,1,1,3,1
1118,2,38,2,3,4,1,3,2,2,3,3,3,3,3,3,3,3,3,3,3,2,2,3,3,3,3,2,3,2
1119,2,26,1,3,4,13,4,4,4,3,4,4,3,3,4,4,4,3,2,3,3,1,1,3,1,1,1,5,1
1121,2,32,2,2,4,13,3,1,4,4,2,2,2,4,4,2,2,4,2,1,2,3,4,3,4,3,1,4,3
1122,1,64,5,2,4,1,4,2,4,4,4,4,4,4,4,4,4,4,4,3,3,2,2,4,3,3,3,4,2
1125,1,33,2,3,4,9,3,2,2,2,3,3,3,3,3,3,3,4,4,3,4,3,2,2,3,3,4,3,3
1127,1,32,2,3,4,13,2,3,3,4,4,3,3,4,2,3,2,3,4,3,4,2,3,4,3,4,3,4,4
1128,1,62,5,3,4,9,4,3,4,3,4,2,3,4,3,3,4,4,3,4,3,2,3,3,2,2,3,4,1
1129,1,23,1,2,1,5,1,3,4,3,3,3,3,2,2,2,2,3,1,3,1,1,2,3,2,4,1,1,1
1131,1,58,4,3,10,1,3,3,2,4,4,3,3,3,4,3,2,2,3,3,3,2,3,2,2,3,4,4,2
1132,1,30,2,2,10,6,5,4,4,5,4,3,1,1,1,1,1,1,2,1,1,2,4,1,1,2,3,5,3
